	A	Coef	t	P.value	F	F.p.value	Results	genes
g12991	3.90497129254656	-1.14014229623872	-1.49136630746407	0.0739024098129671	147.213727995275	2.93321901483436e-12	0	g12991
g12992	-1.25095726097596	1.00892644495248	0.0413514393257716	0.483664573168713	21.8445554055999	7.81224007757459e-05	0	g12992
g12993	4.68491087548951	0.811378302275788	0	0.9655115418573	66.5487218226	1.15302268199163e-08	0	g12993
g12994	0.965618600968241	-1.01032654862344	-0.0383641599834858	0.484844069752936	14.0884926132895	0.000877653608820734	0	g12994
g12995	4.71739081549596	0.399373697802288	0	0.99999960519241	18.2796397730914	0.000224084195438259	0	g12995
g12996	0.201313628346748	0.177808657031922	0	0.999583145615905	0.664026909730082	0.422485370423379	0	g12996
g12997	-1.52667009438722	3.27744269155903	3.944579070724	0.000267074776784757	32.223790868673	5.53364009101505e-06	1	g12997
g12998	2.74395424731931	-0.856281856007006	0	0.883405164049081	52.8685589269226	9.63334250304762e-08	0	g12998
g12999	7.81864795793541	1.06744804451305	1.21886037868793	0.116877424319349	372.10258370243	5.20038548368608e-17	0	g12999
g13	4.32551106130885	-1.62291253047746	-6.78060931282543	1.62621990444531e-07	312.085460438995	4.4464344666069e-16	-1	g13
g130	-1.59197125511803	4.45362232935446	3.03715429915227	0.00270239196699098	15.3394856315543	0.00057456958200846	1	g130
g1300	8.62941276789421	0.353269580004579	0	0.999999999999986	66.037879655545	1.24078594306652e-08	0	g1300
g13000	5.01679686097822	-7.76794604524035	-19.5784074737183	1.80853050585428e-17	504.955783914729	1.18692917662586e-18	-1	g13000
g13001	8.4218564359921	-0.0585946156963288	0	1	1.35007969612955	0.2557367992645	0	g13001
g13002	5.25950933458953	0.321355190870762	0	0.999999999999108	34.5051727660133	3.30553435535723e-06	0	g13002
g13003	6.67219923544337	-1.09762352683485	-1.01433834890828	0.159847337411823	130.065920270654	1.15826006048143e-11	0	g13003
g13007	-1.62529009691331	0.724932751516804	0	0.705119625063665	2.0457989401833	0.164441810758001	0	g13007
g1301	8.05998970073475	0.118134372501087	0	1	8.60246794770906	0.0068876216475713	0	g1301
g13010	3.77410795811165	1.12494517093111	0.544946087307752	0.295199128697178	24.0730344793542	4.21687504460285e-05	0	g13010
