"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g6453","g6453",-4.93944354036357,-2.94369684286889,-5.98009684946481,1.63389014865604e-06,3.76799586680837e-05
"g1211","g1211",-4.45086967823038,-3.64142013530206,-5.97796577759413,1.64173108010091e-06,3.78142702958377e-05
"g11622","g11622",5.8679692479497,4.19953627658132,5.97721814236133,1.64931936054657e-06,3.79105694184382e-05
"g19301","g19301",4.24955144771897,-1.74210464526052,5.97591077954113,1.64995597874263e-06,3.79105694184382e-05
"g12470","g12470",6.16925826213356,0.496452566338618,5.97620487889721,1.65540038467413e-06,3.79891087053307e-05
"g10051","g10051",-4.6250234022799,2.24032882446693,-5.97397195485741,1.65842287315927e-06,3.80119443140136e-05
"g1582","g1582",-3.21709740881576,2.53435801424249,-5.97268097487448,1.66292812295404e-06,3.80686683483093e-05
"g23545","g23545",-4.07698667726447,-1.38458709732947,-5.96845921045219,1.68078802045809e-06,3.84306031653278e-05
"g21206","g21206",-3.09864464566002,4.9423715585959,-5.95741750181085,1.7274961508285e-06,3.94504571642918e-05
"g19613","g19613",2.30338792511849,6.08798608502303,5.95589713920479,1.73405730464897e-06,3.95521172808559e-05
"g10089","g10089",3.41796917292586,3.86167600850721,5.95498604261176,1.73804182825479e-06,3.95948313948349e-05
"g5775","g5775",4.23061398584799,-4.34762230221708,5.94915902393911,1.76388810837454e-06,4.01348763882454e-05
"g21024","g21024",6.09820340200285,-0.408299278823254,5.94824870375003,1.77464380267694e-06,4.0330662613806e-05
"g22184","g22184",3.59155134516832,-1.06164575918095,5.93455918805469,1.82905857582376e-06,4.15169724432441e-05
"g6143","g6143",6.60900125483063,2.04005965263621,5.9329027069038,1.84859425208158e-06,4.19096658189572e-05
"g4880","g4880",-2.55772869680864,4.79814783328399,-5.92948803891472,1.85231482940837e-06,4.19432979910356e-05
"g16230","g16230",4.62679527357787,1.53718728960539,5.92522588143275,1.87316050982095e-06,4.23641572963004e-05
"g19054","g19054",4.68382820524718,0.459982801315478,5.91641106584221,1.91502279961608e-06,4.32475932406236e-05
"g21949","g21949",-2.15223787951811,2.75648730538791,-5.91533724120253,1.91901684208682e-06,4.32475932406236e-05
"g5005","g5005",-2.05932073576685,3.42663124560631,-5.91531111329758,1.9191422249826e-06,4.32475932406236e-05
"g23355","g23355",2.3339011134626,6.247269527623,5.91469287929665,1.92211160045469e-06,4.3262509480102e-05
"g9775","g9775",5.18502605467447,-3.00313288758181,5.91310004690365,1.9324200691425e-06,4.34423787486244e-05
"g7950","g7950",-2.61671512490092,4.10413522928045,-5.90505002087876,1.96903432111145e-06,4.42124844149922e-05
"g22446","g22446",2.55461033469021,3.51271547294858,5.90326533653534,1.97784506656194e-06,4.43571975513992e-05
"g1818","g1818",4.25583290164683,-3.1917357270718,5.89606901896526,2.01429431519016e-06,4.51206739731187e-05
"g23549","g23549",2.42194699680041,6.69597021521455,5.89356486295351,2.02644064005448e-06,4.53385865875675e-05
"g18878","g18878",2.49880938248337,1.54662983210011,5.89171587211571,2.03584015054031e-06,4.549459711857e-05
"g7363","g7363",1.84050458637065,8.69862303990668,5.89087480774358,2.04013010538858e-06,4.55361896975362e-05
"g371","g371",1.73830469005706,5.39168546218669,5.88708717837123,2.059564481728e-06,4.59153085230896e-05
"g6443","g6443",1.75699401933769,8.7377756175797,5.87851425863486,2.10424907134075e-06,4.68557789056623e-05
"g18329","g18329",5.38458746697628,0.825451720750959,5.87543761328962,2.12444551869656e-06,4.72493820047945e-05
"g9891","g9891",4.51128875039992,-1.45778065518831,5.87292598627538,2.13486025015302e-06,4.74247569077239e-05
"g10006","g10006",7.38890565730668,1.46509789456577,5.87670134840059,2.13932059418427e-06,4.74675997874093e-05
"g22394","g22394",1.89063659403188,4.63750701420579,5.86532768559091,2.17491006809286e-06,4.82002232466584e-05
"g20857","g20857",3.59377907603901,3.56169848736727,5.86217563292946,2.19224565838064e-06,4.85270529503881e-05
"g3239","g3239",9.75128875488369,0.379111544677392,5.87250405085454,2.21781138247842e-06,4.89890341305376e-05
"g21133","g21133",-6.12838490900682,-0.0291204506080568,-5.85918565818785,2.21834177699218e-06,4.89890341305376e-05
"g21227","g21227",3.7051821383769,1.42711143709968,5.84694759823825,2.27757615516153e-06,5.02379709801453e-05
"g15792","g15792",5.18116799457349,-1.11850111452594,5.84007337042246,2.32034122082162e-06,5.10803956649215e-05
"g16511","g16511",1.58299753710567,6.05771792759415,5.83935364851647,2.32121697725282e-06,5.10803956649215e-05
"g1097","g1097",-2.96813991931257,2.15169775495785,-5.83185121701709,2.36531445125712e-06,5.19897780147946e-05
"g22798","g22798",1.684280177941,5.77153312099543,5.82836366868941,2.38609138457174e-06,5.23850437580041e-05
"g21907","g21907",-3.66216990771262,0.567021508564217,-5.827309136524,2.3925416016999e-06,5.24652192868673e-05
"g7107","g7107",-2.96994084924172,3.4255851422359,-5.82208935657375,2.42395804780894e-06,5.30920437364133e-05
"g7434","g7434",-5.59197526450759,-2.25124855663908,-5.81918132512649,2.44780259563828e-06,5.3551751301776e-05
"g12434","g12434",-6.30010945870076,0.232267834983717,-5.8139327570996,2.48724658134758e-06,5.43512659133868e-05
"g1127","g1127",9.38206847729388,-2.97007432432182,5.82368182373314,2.49619464980088e-06,5.44832985903571e-05
"g16267","g16267",-2.99876780861632,3.73236029946832,-5.80631927583201,2.521829587261e-06,5.49788173622749e-05
"g17524","g17524",4.49262881086058,-0.745060328203135,5.80331777006892,2.54205412168676e-06,5.53553690214925e-05
"g5855","g5855",-2.84092340545799,-0.153613189278205,-5.80022761144653,2.56069412668006e-06,5.56965825767105e-05
"g19036","g19036",3.70527247475687,0.626645165552823,5.7993180641254,2.56670919418346e-06,5.57627238490681e-05
"g3153","g3153",5.23784771593482,-0.556739047180973,5.79835451497233,2.57686549785332e-06,5.59185778000601e-05
"g8280","g8280",7.73968444015473,-2.04928540919339,5.80293718878303,2.58291945638628e-06,5.59851524714294e-05
"g19867","g19867",-3.72330848832972,0.987737049253554,-5.79593047288324,2.58864932585642e-06,5.60445568250371e-05
"g2319","g2319",3.81048923378274,4.53194563843604,5.79489390009558,2.59545055539792e-06,5.61269924603871e-05
"g17056","g17056",2.17228475392774,3.9359511424956,5.79226287040491,2.61243002968872e-06,5.64290905836794e-05
"g9429","g9429",-3.30431596065816,-2.50101731981934,-5.79125744664789,2.61907600977112e-06,5.65075444271563e-05
"g1421","g1421",-2.2906542611928,4.72309178923209,-5.78535268240092,2.65817763046086e-06,5.7285255624725e-05
"g11609","g11609",4.04075840644763,-0.23360649684917,5.7787219159637,2.70329169579757e-06,5.81906039087355e-05
"g17025","g17025",-5.26831560762596,-2.81551961384363,-5.77704364024788,2.71884572881232e-06,5.84269337986042e-05
"g11462","g11462",2.79548021108338,3.98116808974448,5.77613043696265,2.72050313116334e-06,5.84269337986042e-05
"g15667","g15667",4.60000760546632,-0.887830034227335,5.77186019333639,2.75143849600085e-06,5.89632695975646e-05
"g5438","g5438",-2.91046542447353,2.71840519059228,-5.77158509315694,2.75176600874015e-06,5.89632695975646e-05
"g20516","g20516",-2.8540297381003,5.12840360869738,-5.76716298693706,2.78252593590062e-06,5.95543136668959e-05
"g2384","g2384",-3.08021667442294,2.5150063257939,-5.75899041220377,2.84030931334307e-06,6.07217324012192e-05
"g22244","g22244",3.77932801951972,0.829686994527815,5.7578553484823,2.84864866242875e-06,6.08306534987206e-05
"g4008","g4008",2.9605817644159,3.36812284916022,5.75681056128085,2.85591564602102e-06,6.09164532960729e-05
"g21199","g21199",-3.04593196479496,6.14385439185631,-5.74667869985555,2.92964319667271e-06,6.23836383519178e-05
"g20946","g20946",10.2699109610105,-2.58496201873437,5.76488927390384,2.93135555965863e-06,6.23836383519178e-05
"g2475","g2475",4.52175483510929,1.35925417280623,5.7423335853392,2.96333302358087e-06,6.29926653731493e-05
"g14061","g14061",-2.55309606271706,2.96857525284036,-5.74027746912188,2.97719800712278e-06,6.32157252950679e-05
"g5677","g5677",-3.5887588208338,1.36840038347898,-5.73849007835467,2.99075709392914e-06,6.34317927082324e-05
"g23340","g23340",3.74309915232674,3.85402496153966,5.73722460752857,3.00038605572487e-06,6.3564110913882e-05
"g8178","g8178",6.18222602182763,1.33049796692678,5.73771548837703,3.01138117801572e-06,6.37250403009219e-05
"g2070","g2070",6.75083198848413,1.81032683688521,5.73327418752752,3.05501172014537e-06,6.45754393923399e-05
"g22320","g22320",1.80858567305042,5.45288888715061,5.72527581371948,3.09176764456502e-06,6.52787742882315e-05
"g23066","g23066",-3.66196547818631,0.434837635099742,-5.72483349917702,3.09539691382419e-06,6.52818860936892e-05
"g9946","g9946",2.18806752272984,5.38810106050381,5.71746553118031,3.15317481532713e-06,6.64257018118745e-05
"g6826","g6826",7.89613738168183,2.16933844364547,5.72306211847352,3.16411299792415e-06,6.65813182918965e-05
"g10472","g10472",3.19448610834717,3.53038078573502,5.71451308236362,3.17674123363454e-06,6.67721091809574e-05
"g7653","g7653",2.144763734931,2.67994246476978,5.7116939162896,3.19934619271121e-06,6.71719392689167e-05
"g20799","g20799",2.72660797777869,3.73997016914618,5.70057261611317,3.29025753607541e-06,6.89823297612551e-05
"g13899","g13899",5.00765644815255,0.145470894644121,5.70046050744341,3.29519396950546e-06,6.89823297612551e-05
"g21783","g21783",5.34027570517717,2.65687384347421,5.70058535396117,3.29661141746678e-06,6.89823297612551e-05
"g17985","g17985",1.65496418465608,6.66431300398447,5.69490258924863,3.33760622145284e-06,6.97622954805121e-05
"g5654","g5654",-2.99270280862421,5.95603228657046,-5.69230503695674,3.35954221611735e-06,7.01426024610069e-05
"g19391","g19391",-3.24086397282352,1.33216940442524,-5.69083026665131,3.37208390760193e-06,7.03261414723343e-05
"g22086","g22086",-2.39638848782125,4.47909904360788,-5.6872545580263,3.4025722975459e-06,7.08831422296534e-05
"g19624","g19624",1.80735412333802,4.70091182561093,5.67678911126548,3.49355189675562e-06,7.26976742644518e-05
"g9112","g9112",-2.99588207252176,0.438436816861722,-5.6743370968403,3.51523660149858e-06,7.30678171191761e-05
