	A	Coef	t	P.value	F	F.p.value	Results	genes
g87	-0.8978792	2.749186	2.177327	0.01936258	11.71072	0.002050797	0	g87
g8700	3.361967	-1.040661	-0.2206515	0.4135369	31.89146	5.975416e-06	0	g8700
g8701	6.001309	0.169901	0	1	19.65257	0.0001477694	0	g8701
g8702	2.773189	0.4627295	0	0.9999999	37.71995	1.65334e-06	0	g8702
g8703	2.875735	-0.4417911	0	0.9999579	13.52037	0.001069169	0	g8703
g8704	4.717688	-1.420452	-2.94711	0.003328376	99.13167	2.134497e-10	-1	g8704
g8705	3.625189	-1.934621	-6.368192	4.622175e-07	173.7612	4.488128e-13	-1	g8705
g8708	4.628389	-1.439573	-3.220198	0.001702537	111.2168	6.322258e-11	-1	g8708
g8709	0.4292023	4.004427	2.750892	0.005367575	13.44326	0.001098476	1	g8709
g871	-2.097827	-0.3183832	0	0.8488294	0.09723033	0.7576462	0	g871
g8710	0.3209862	-0.2817383	0	0.8699154	0.05621835	0.8144196	0	g8710
g8712	0.7621872	-0.5882714	0	0.7379373	0.2102693	0.6503364	0	g8712
